Time, Conversion, DPn, DPw, PDI
1,0.0018,1.9,1.9474,1.0249
2,0.0033,2.65,2.8113,1.0609
3,0.0044,3.3684,3.6562,1.0854
4,0.0053,3.8421,4.3151,1.1231
5,0.0062,4.5556,5.2683,1.1565
6,0.0069,4.9444,5.8989,1.193
7,0.0078,5.4444,6.6735,1.2257
8,0.0085,5.8333,7.3048,1.2522
9,0.0091,6.1667,7.9369,1.2871
10,0.0099,6.6111,8.7143,1.3181
11,0.0106,7,9.4603,1.3515
12,0.0112,7.3333,10.136,1.3822
13,0.0118,7.6667,10.754,1.4026
14,0.0124,8,11.417,1.4271
15,0.0128,8.2222,11.824,1.4381
16,0.013,8.3333,12.067,1.448
17,0.0133,8.5,12.399,1.4587
18,0.0136,8.6667,12.718,1.4675
19,0.0138,8.7778,13,1.481
20,0.0141,8.9444,13.385,1.4965
21,0.0144,9.1111,13.817,1.5165
22,0.0148,9.3333,14.357,1.5383
23,0.0151,9.5,14.825,1.5605
24,0.0155,9.7222,15.4,1.584
25,0.0159,9.9444,15.994,1.6084
26,0.0163,10.167,16.607,1.6334
27,0.0167,10.389,17.235,1.659
28,0.017,10.556,17.768,1.6833
29,0.0173,10.722,18.244,1.7015
30,0.0175,10.833,18.528,1.7103
31,0.0179,11.056,19.201,1.7368
32,0.0182,11.222,19.713,1.7566
33,0.0186,11.444,20.408,1.7832
34,0.0189,11.611,20.981,1.807
35,0.0191,11.722,21.351,1.8214
36,0.0193,11.833,21.676,1.8318
37,0.0195,11.944,21.995,1.8415
38,0.0195,11.944,21.995,1.8415
39,0.0197,12.056,22.327,1.852
40,0.0199,12.167,22.671,1.8634
41,0.02,12.222,22.873,1.8714
42,0.0201,12.278,23.081,1.8799
43,0.0202,12.333,23.297,1.889
44,0.0203,12.389,23.52,1.8985
45,0.0204,12.444,23.75,1.9085
46,0.0204,12.444,23.75,1.9085
47,0.0205,12.5,23.987,1.9189
48,0.0206,12.556,24.23,1.9298
49,0.0207,12.611,24.48,1.9412
50,0.0208,12.667,24.737,1.9529
51,0.0209,12.722,25,1.9651
52,0.021,12.778,25.27,1.9776
53,0.0211,12.833,25.545,1.9906
54,0.0212,12.889,25.828,2.0039
55,0.0213,12.944,26.116,2.0175
56,0.0214,13,26.41,2.0316
57,0.0215,13.056,26.711,2.0459
58,0.0216,13.111,27.017,2.0606
59,0.0217,13.167,27.329,2.0756
60,0.0218,13.222,27.647,2.091
61,0.0219,13.278,27.971,2.1066
62,0.022,13.333,28.3,2.1225
63,0.022,13.333,28.3,2.1225
64,0.0221,13.389,28.635,2.1387
65,0.0222,13.444,28.975,2.1552
66,0.0223,13.5,29.321,2.1719
67,0.0224,13.556,29.672,2.1889
68,0.0224,13.556,29.672,2.1889
69,0.0225,13.611,30.029,2.2062
70,0.0226,13.667,30.39,2.2237
71,0.0227,13.722,30.757,2.2414
72,0.0228,13.778,31.129,2.2594
73,0.0229,13.833,31.506,2.2775
74,0.023,13.889,31.888,2.2959
75,0.0231,13.944,32.275,2.3145
76,0.0232,14,32.667,2.3333
77,0.0233,14.056,33.063,2.3523
78,0.0234,14.111,33.465,2.3715
79,0.0235,14.167,33.871,2.3909
80,0.0235,14.167,33.871,2.3909
81,0.0235,14.167,33.871,2.3909
82,0.0235,14.167,33.871,2.3909
83,0.0235,14.167,33.871,2.3909
84,0.0235,14.167,33.871,2.3909
85,0.0235,14.167,33.871,2.3909
86,0.0235,14.167,33.871,2.3909
87,0.0235,14.167,33.871,2.3909
88,0.0235,14.167,33.871,2.3909
89,0.0235,14.167,33.871,2.3909
90,0.0235,14.167,33.871,2.3909
91,0.0235,14.167,33.871,2.3909
92,0.0235,14.167,33.871,2.3909
